version,name,part,key_size,elements,wall_time,cpu_cycles,k_cycles,instructions,cache_references,cache_misses,branch_misses,ipc,GHZ,CPUs,maxrss_mb,scale
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.58,15.61,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,17.26,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,17.06,0.07,34731,262048
baseline,Account,absorb,8,257497,0.01,311.21,1.18,707.55,117.13,3.59,1.17,2.27,5.35,1.01,34731,257497
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.48,16.96,0.07,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.47,0.40,441.58,18.51,0.52,1.92,3.70,5.29,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.10,0.46,443.31,16.78,0.60,1.92,3.79,5.27,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,133.02,0.45,439.78,19.03,0.58,2.45,3.31,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.43,0.45,434.06,18.83,0.56,2.83,2.92,5.25,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,132.14,0.45,382.71,8.52,0.18,2.83,2.90,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.56,0.38,386.13,8.37,0.18,2.91,2.93,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,17.04,0.12,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,127.99,0.51,383.67,8.63,0.19,2.67,3.00,5.28,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.47,16.44,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.46,13.35,0.10,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.68,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,17.08,0.07,34731,262048
baseline,Account,absorb,8,257734,0.01,308.94,1.28,709.23,117.93,3.39,1.13,2.30,5.36,1.01,34731,257734
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.33,18.30,0.06,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.59,0.48,440.44,18.59,0.56,1.93,3.68,5.29,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.08,0.45,441.60,16.49,0.61,1.89,3.77,5.28,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,140.52,0.44,435.27,18.27,0.55,2.57,3.10,5.27,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.38,0.42,433.40,19.22,0.53,2.87,2.92,5.27,1.01,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.71,0.48,383.58,8.72,0.19,2.74,2.91,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,130.89,0.39,382.13,8.41,0.18,2.92,2.92,5.28,1.01,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.56,16.71,0.12,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,127.87,0.45,384.06,8.72,0.21,2.59,3.00,5.28,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.57,17.07,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,16.12,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.65,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,17.39,0.07,34731,262048
baseline,Account,absorb,8,257977,0.01,310.88,1.08,705.86,117.91,3.39,1.14,2.27,5.35,1.01,34731,257977
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.47,16.34,0.07,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.77,0.44,442.60,18.92,0.50,1.93,3.70,5.28,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.33,0.45,442.66,16.62,0.61,1.92,3.81,5.27,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.63,0.41,438.13,18.89,0.59,2.46,3.30,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.46,0.42,435.38,18.80,0.58,2.82,2.93,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.43,0.43,383.45,8.73,0.19,2.86,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.68,0.46,384.59,8.41,0.18,2.92,2.92,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.54,17.09,0.07,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.88,0.47,385.58,8.67,0.21,2.72,2.99,5.27,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.50,15.85,0.08,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.58,15.00,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,17.17,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,17.06,0.07,34731,262048
